"2023-03-30";"21:01:19";"WinControl (rev 1195) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFC0112A) ";""
"0";"2023-03-28";"09:15:58";"C";"";"File Nr. 80 | File Dev. ID #1, DIVING-PAM-II:  ";""
"2150";"2023-03-28";"09:16:00";"F";"13702";"0";"0";"-";"-";"-"
"22140";"2023-03-28";"09:16:20";"F";"13703";"0";"0";"-";"-";"-"
"42130";"2023-03-28";"09:16:40";"F";"13704";"0";"0";"-";"-";"-"
"62120";"2023-03-28";"09:17:00";"F";"13705";"0";"0";"-";"-";"-"
"82110";"2023-03-28";"09:17:20";"F";"13706";"0";"0";"-";"-";"-"
"82111";"2023-03-28";"09:17:20";"SLCE";"";"Light Curve end ";""
"105579";"2023-03-28";"09:17:43";"SLCS";"";"Light Curve start ";""
"105580";"2023-03-28";"09:17:43";"FO";"13707";"0";"2";"-";"-";"-"
"125570";"2023-03-28";"09:18:03";"F";"13708";"0";"2";"-";"-";"-"
"145560";"2023-03-28";"09:18:23";"F";"13709";"0";"0";"-";"-";"-"
"165550";"2023-03-28";"09:18:43";"F";"13710";"0";"0";"-";"-";"-"
"185540";"2023-03-28";"09:19:03";"F";"13711";"0";"0";"-";"-";"-"
"205530";"2023-03-28";"09:19:23";"F";"13712";"0";"0";"-";"-";"-"
"205531";"2023-03-28";"09:19:23";"SLCE";"";"Light Curve end ";""
"601109";"2023-03-28";"09:25:59";"SLCS";"";"Light Curve start ";""
"601110";"2023-03-28";"09:25:59";"FO";"13713";"0";"0";"-";"-";"-"
"621100";"2023-03-28";"09:26:19";"F";"13714";"0";"2";"-";"-";"-"
"621101";"2023-03-28";"09:26:19";"SLCE";"";"Light Curve end ";""
"638460";"2023-03-28";"09:26:36";"FO";"13715";"0";"0";"-";"-";"-"
"746249";"2023-03-28";"09:28:24";"SLCS";"";"Light Curve start ";""
