Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR
3/31/2023,19:29:30,SLCS,,Light Curve start ,,,,
3/31/2023,19:29:30,REG1,,"#1: alpha: 0.204, ETRm: 46.912, Ik: 229.965   ( beta: 0.023, ETRmPot: 67.584 )   (Platt et al. 1980) ",,,,
3/31/2023,19:29:30,REG2,,"#1: alpha: 0.179, ETRm: 44.364, Ik: 248.093   (Jassby and Platt 1976) ",,,,
3/31/2023,19:29:30,FO,13852,624,1553,0,0.598,0
3/31/2023,19:29:50,F,13853,767,1478,26,0.481,5.3
3/31/2023,19:30:10,F,13854,715,1309,46,0.454,8.8
3/31/2023,19:30:30,F,13855,659,1179,66,0.441,12.2
3/31/2023,19:30:50,F,13856,639,1103,91,0.421,16.1
3/31/2023,19:31:10,F,13857,629,1036,126,0.393,20.8
3/31/2023,19:31:30,F,13858,643,987,191,0.349,28
3/31/2023,19:31:50,F,13859,652,926,286,0.296,35.6
3/31/2023,19:32:10,F,13860,663,862,423,0.231,41
3/31/2023,19:32:30,F,13861,654,789,633,0.171,45.5
3/31/2023,19:32:50,F,13862,620,719,827,0.138,47.9
3/31/2023,19:33:10,F,13863,602,664,1156,0.093,45.2
3/31/2023,19:33:30,F,13864,571,609,1507,0.062,39.2
3/31/2023,19:33:30,SLCE,,Light Curve end ,,,,
3/31/2023,19:34:25,SLCS,,Light Curve start ,,,,
3/31/2023,19:34:25,REG1,,"#1: alpha: 0.228, ETRm: 50.327, Ik: 220.810   ( beta: 0.007, ETRmPot: 57.718 )   (Platt et al. 1980) ",,,,
3/31/2023,19:34:25,REG2,,"#1: alpha: 0.186, ETRm: 49.223, Ik: 263.962   (Jassby and Platt 1976) ",,,,
3/31/2023,19:34:25,FO,13865,416,1193,0,0.651,0
3/31/2023,19:34:45,F,13866,542,1170,25,0.537,5.6
3/31/2023,19:35:05,F,13867,557,1120,46,0.503,9.7
3/31/2023,19:35:25,F,13868,567,1074,66,0.472,13.1
3/31/2023,19:35:45,F,13869,579,1049,91,0.448,17.1
3/31/2023,19:36:05,F,13870,593,1027,126,0.423,22.4
3/31/2023,19:36:25,F,13871,624,994,191,0.372,29.8
3/31/2023,19:36:45,F,13872,657,956,286,0.313,37.6
3/31/2023,19:37:05,F,13873,692,925,423,0.252,44.8
3/31/2023,19:37:25,F,13874,727,890,633,0.183,48.7
3/31/2023,19:37:45,F,13875,731,856,827,0.146,50.7
3/31/2023,19:38:05,F,13876,738,822,1156,0.102,49.5
3/31/2023,19:38:25,F,13877,733,793,1507,0.076,48.1
3/31/2023,19:38:25,SLCE,,Light Curve end ,,,,
3/31/2023,19:38:58,SLCS,,Light Curve start ,,,,
3/31/2023,19:38:58,REG1,,"#1: alpha: 0.235, ETRm: 72.182, Ik: 307.627   ( beta: 0.011, ETRmPot: 87.916 )   (Platt et al. 1980) ",,,,
